Model,ROC-AUC,PR-AUC,Precision,Recall,F1-Score,Accuracy
XGBoost,0.9975,0.8373,0.0684,0.9596,0.1276,0.9839
Random Forest,0.9963,0.7558,0.0717,0.9353,0.1331,0.9851
Logistic Regression,0.9892,0.5406,0.0217,0.9385,0.0425,0.9481
LightGBM,0.9687,0.0408,0.033,0.9481,0.0637,0.9658
